topic,law_title,date,law_url
Settled Status,How to apply from pre-settled to settled status under the EU Settlement Scheme: video,2025-06-23,https://www.gov.uk/government/publications/how-to-apply-from-pre-settled-to-settled-status-under-the-eu-settlement-scheme-video/how-to-apply-from-pre-settled-to-settled-status-under-the-eu-settlement-scheme-video
Visa Issues,How to view and confirm someone's immigration status: video,2025-06-23,https://www.gov.uk/government/publications/how-to-view-and-confirm-someones-immigration-status-video/how-to-view-and-confirm-someones-immigration-status-video
Visa Issues,Visa processing times: video,2025-06-23,https://www.gov.uk/government/publications/visa-processing-times
Visa Issues,Youth Mobility Scheme visa: ballot system,2025-06-23,https://www.gov.uk/guidance/youth-mobility-scheme-visa-ballot-system
Visa Issues,How to view and confirm someone's immigration status: video,2025-06-23,https://www.gov.uk/government/publications/how-to-view-and-confirm-someones-immigration-status-video
Rwanda & Policy,Asylum and Detention Accommodation Programme: SRO appointment letter for Cheryl Avery (accessible),2025-06-19,https://www.gov.uk/government/publications/home-office-major-projects-appointment-letters-for-senior-responsible-owners/asylum-and-detention-accommodation-programme-sro-appointment-letter-for-cheryl-avery-accessible
Visa Issues,New Plan for Immigration (Sovereign Borders Programme): SRO appointment letter (accessible version),2025-06-19,https://www.gov.uk/government/publications/home-office-major-projects-appointment-letters-for-senior-responsible-owners/new-plan-for-immigration-sovereign-borders-programme-sro-appointment-letter-accessible-version
Visa Issues,"Future Borders and Immigration System (FBIS) Simplify and Enable programme: SRO appointment letter, May 2022",2025-06-19,https://www.gov.uk/government/publications/home-office-major-projects-appointment-letters-for-senior-responsible-owners/future-borders-and-immigration-system-fbis-simplify-and-enable-programme-sro-appointment-letter-may-2022-accessible
Visa Issues,"Future Borders and Immigration System (FBIS) (Digitise) programme: SRO appointment letter, May 2022",2025-06-19,https://www.gov.uk/government/publications/home-office-major-projects-appointment-letters-for-senior-responsible-owners/future-borders-and-immigration-system-fbis-digitise-programme-sro-appointment-letter-may-2022-accessible
Visa Issues,"Immigration Removal Centre (IRC) Expansion programme appointment letter for Will Round, January 2025 (accessible)",2025-06-19,https://www.gov.uk/government/publications/home-office-major-projects-appointment-letters-for-senior-responsible-owners/immigration-removal-centre-irc-expansion-programme-appointment-letter-for-will-round-january-2025-accessible
Visa Issues,Immigration Platform Technologies: SRO appointment letter for Philippa Rouse (accessible),2025-06-19,https://www.gov.uk/government/publications/home-office-major-projects-appointment-letters-for-senior-responsible-owners/immigration-platform-technologies-sro-appointment-letter-for-philippa-rouse-accessible
Visa Issues,Current account closed or refused based on immigration status,2025-06-19,https://www.gov.uk/government/publications/current-account-closed-or-refused-based-on-immigration-status
Rwanda & Policy,Asylum and Protection Transformation Programme: SRO appointment letter for Becca Jones (accessible),2025-06-19,https://www.gov.uk/government/publications/home-office-major-projects-appointment-letters-for-senior-responsible-owners/asylum-and-detention-accommodation-programme-sro-appointment-letter-for-becca-jones-accessible
Visa Issues,Immigration Platform Technologies: SRO appointment letter for Simon Bond (accessible),2025-06-19,https://www.gov.uk/government/publications/home-office-major-projects-appointment-letters-for-senior-responsible-owners/immigration-platform-technologies-sro-appointment-letter-for-simon-bond-accessible
Visa Issues,Immigration status and current accounts,2025-06-19,https://www.gov.uk/government/publications/current-account-closed-or-refused-based-on-immigration-status/immigration-status-and-current-accounts
Rwanda & Policy,"Asylum Transformation Programme appointment letter for Becca Jones, May 2024 (accessible)",2025-06-19,https://www.gov.uk/government/publications/home-office-major-projects-appointment-letters-for-senior-responsible-owners/asylum-transformation-programme-appointment-letter-for-becca-jones-may-2024-accessible
Rwanda & Policy,Immigration and nationality refunds policy: caseworker guidance,2025-06-18,https://www.gov.uk/government/publications/immigration-and-nationality-refunds-policy
Rwanda & Policy,Immigration and nationality refunds policy (accessible),2025-06-18,https://www.gov.uk/government/publications/immigration-and-nationality-refunds-policy/immigration-and-nationality-refunds-policy-accessible
Visa Issues,Immigration and nationality refunds policy: caseworker guidance,2025-06-18,https://www.gov.uk/government/publications/immigration-and-nationality-refunds-policy
Visa Issues,Immigration and nationality refunds policy (accessible),2025-06-18,https://www.gov.uk/government/publications/immigration-and-nationality-refunds-policy/immigration-and-nationality-refunds-policy-accessible
Visa Issues,Immigration Enforcement powers (accessible),2025-06-17,https://www.gov.uk/government/publications/powers-and-operational-procedure/immigration-enforcement-powers-accessible
Visa Issues,India Young Professionals Scheme visa: ballot system,2025-06-15,https://www.gov.uk/guidance/india-young-professionals-scheme-visa-ballot-system
Visa Issues,Global Talent visa: Tech Nation,2025-06-13,https://www.gov.uk/guidance/global-talent-visa-tech-nation-ceasing-operations
Visa Issues,"Monthly entry clearance visa applications, May 2025",2025-06-12,https://www.gov.uk/government/statistics/monthly-entry-clearance-visa-application-may-2025/monthly-entry-clearance-visa-applications-may-2025
Visa Issues,Monthly entry clearance visa application: May 2025,2025-06-12,https://www.gov.uk/government/statistics/monthly-entry-clearance-visa-application-may-2025
Visa Issues,Campsfield immigration removal centre: factsheet,2025-06-11,https://www.gov.uk/government/publications/campsfield-immigration-removal-centre-factsheet/campsfield-immigration-removal-centre-factsheet
Visa Issues,Haslar immigration removal centre: factsheet,2025-06-11,https://www.gov.uk/government/publications/haslar-immigration-removal-centre-factsheet
Visa Issues,Haslar immigration removal centre (IRC): factsheet,2025-06-11,https://www.gov.uk/government/publications/haslar-immigration-removal-centre-factsheet/haslar-immigration-removal-centre-irc-factsheet
Visa Issues,Campsfield immigration removal centre: factsheet,2025-06-11,https://www.gov.uk/government/publications/campsfield-immigration-removal-centre-factsheet
Visa Issues,Skilled Worker visa: jobs that qualify for a PhD salary discount,2025-06-11,https://www.gov.uk/government/publications/skilled-worker-visa-jobs-that-qualify-for-a-phd-salary-discount
Visa Issues,Skilled Worker visa: Jobs that qualify for a PhD salary discount,2025-06-11,https://www.gov.uk/government/publications/skilled-worker-visa-jobs-that-qualify-for-a-phd-salary-discount/skilled-worker-visa-jobs-that-qualify-for-a-phd-salary-discount
Visa Issues,Family visa financial requirements review (accessible),2025-06-10,https://www.gov.uk/government/publications/family-visa-financial-requirements-review/family-visa-financial-requirements-review-accessible
Visa Issues,Deportation on conducive grounds Immigration Act 1971 and UK Borders Act 2007 (accessible),2025-06-10,https://www.gov.uk/government/publications/deporting-non-eea-foreign-nationals/deportation-on-conducive-grounds-immigration-act-1971-and-uk-borders-act-2007-accessible
Visa Issues,Family visa financial requirements review,2025-06-10,https://www.gov.uk/government/publications/family-visa-financial-requirements-review
Visa Issues,Annexes for family visa financial requirements review (accessible),2025-06-10,https://www.gov.uk/government/publications/family-visa-financial-requirements-review/annexes-for-family-visa-financial-requirements-review-accessible
Rwanda & Policy,Deportation on conducive grounds Immigration Act 1971 and UK Borders Act 2007 (accessible),2025-06-10,https://www.gov.uk/government/publications/deporting-non-eea-foreign-nationals/deportation-on-conducive-grounds-immigration-act-1971-and-uk-borders-act-2007-accessible
BRP & Digital ID,Online immigration status (eVisa),2025-06-09,https://www.gov.uk/guidance/online-immigration-status-evisa
Visa Issues,Online immigration status (eVisa),2025-06-09,https://www.gov.uk/guidance/online-immigration-status-evisa
Visa Issues,Find an immigration removal centre: translations,2025-06-09,https://www.gov.uk/guidance/find-an-immigration-removal-centre-translations
Visa Issues,Restoring control over the immigration system: technical annex (accessible),2025-06-06,https://www.gov.uk/government/publications/restoring-control-over-the-immigration-system-white-paper/restoring-control-over-the-immigration-system-technical-annex
Visa Issues,Immigration advisers' fees and accounts,2025-06-06,https://www.gov.uk/government/publications/fees-and-accounts-oisc-practice-note
Visa Issues,Restoring control over the immigration system: white paper,2025-06-06,https://www.gov.uk/government/publications/restoring-control-over-the-immigration-system-white-paper
Visa Issues,Restoring control over the immigration system (accessible),2025-06-06,https://www.gov.uk/government/publications/restoring-control-over-the-immigration-system-white-paper/restoring-control-over-the-immigration-system-accessible
Visa Issues,Supervision of trainee immigration advisers: guidance note,2025-06-06,https://www.gov.uk/government/publications/oisc-supervision-guidance-note
Settled Status,EU Settlement Scheme: how to check if a parent would have been granted settled status on 30 June 2021 (accessible),2025-06-05,https://www.gov.uk/government/publications/check-if-a-parent-would-have-had-settled-status-on-30-june-2021/eu-settlement-scheme-how-to-check-if-a-parent-would-have-been-granted-settled-status-on-30-june-2021-accessible
Visa Issues,Skilled Worker visa: going rates for eligible occupations,2025-06-05,https://www.gov.uk/government/publications/skilled-worker-visa-going-rates-for-eligible-occupations
Settled Status,Check if a parent would have had settled status on 30 June 2021,2025-06-05,https://www.gov.uk/government/publications/check-if-a-parent-would-have-had-settled-status-on-30-june-2021
Rwanda & Policy,Asylum accommodation requests: caseworker guidance,2025-06-05,https://www.gov.uk/government/publications/asylum-accommodation-requests-policy
Rwanda & Policy,29 September 2024: Asylum Transformation Programme Accounting Officer Assessment summary,2025-06-05,https://www.gov.uk/government/publications/home-office-major-programmes-accounting-officer-assessments/29-september-2024-asylum-transformation-programme-accounting-officer-assessment-summary
Rwanda & Policy,Allocation of asylum accommodation policy (accessible),2025-06-05,https://www.gov.uk/government/publications/asylum-accommodation-requests-policy/allocation-of-asylum-accommodation-policy-accessible
Visa Issues,Fitness of immigration services: assessing owners,2025-06-05,https://www.gov.uk/government/publications/fitness-of-immigration-services-assessing-owners
Visa Issues,Fitness of immigration services: assessing advisers,2025-06-05,https://www.gov.uk/government/publications/fitness-of-immigration-services-assessing-advisers
Visa Issues,6 December 2024: Immigration Removal Centre (IRC) Expansion Programme (IRCEP) Accounting Officer Assessment,2025-06-05,https://www.gov.uk/government/publications/home-office-major-programmes-accounting-officer-assessments/december-2024-immigration-removal-centre-irc-expansion-programme-ircep-accounting-officer-assessment
Visa Issues,Vietnam: tuberculosis test clinics for a UK visa,2025-06-05,https://www.gov.uk/government/publications/tuberculosis-test-for-a-uk-visa-clinics-in-vietnam
Visa Issues,Skilled Worker visa: going rates for eligible occupation codes,2025-06-05,https://www.gov.uk/government/publications/skilled-worker-visa-going-rates-for-eligible-occupations/skilled-worker-visa-going-rates-for-eligible-occupation-codes
Visa Issues,6 September 2022: Future Border and Immigration System (FBIS) Programme Accounting Officer Assessment,2025-06-05,https://www.gov.uk/government/publications/home-office-major-programmes-accounting-officer-assessments/accounting-officer-assessment-future-border-and-immigration-system-fbis-programme
Visa Issues,16 October 2024: Future Border and Immigration System (FBIS) programme Accounting Officer Assessment,2025-06-05,https://www.gov.uk/government/publications/home-office-major-programmes-accounting-officer-assessments/16-october-2024-future-border-and-immigration-system-fbis-programme-accounting-officer-assessment
Visa Issues,6 September 2022: Immigration Platform Technologies (IPT) Programme Accounting Officer Assessment,2025-06-05,https://www.gov.uk/government/publications/home-office-major-programmes-accounting-officer-assessments/accounting-officer-assessment-immigration-platform-technologies-ipt-programme
Visa Issues,Immigration Act 2014 – appeals: caseworker guidance,2025-06-04,https://www.gov.uk/government/publications/appeals
Rwanda & Policy,"Certification of protection and human rights claims under section 94 of the Nationality, Immigration and Asylum Act 2002 (clearly unfounded claims) (accessible)",2025-06-04,https://www.gov.uk/government/publications/appeals/certification-of-protection-and-human-rights-claims-under-section-94-of-the-nationality-immigration-and-asylum-act-2002-clearly-unfounded-claims-a
Rwanda & Policy,"Certification under section 94B of the Nationality, Immigration and Asylum Act 2002 (accessible)",2025-06-04,https://www.gov.uk/government/publications/appeals/certification-under-section-94b-of-the-nationality-immigration-and-asylum-act-2002-accessible
Visa Issues,"Certification of protection and human rights claims under section 94 of the Nationality, Immigration and Asylum Act 2002 (clearly unfounded claims) (accessible)",2025-06-04,https://www.gov.uk/government/publications/appeals/certification-of-protection-and-human-rights-claims-under-section-94-of-the-nationality-immigration-and-asylum-act-2002-clearly-unfounded-claims-a
Visa Issues,"Certification under section 94B of the Nationality, Immigration and Asylum Act 2002 (accessible)",2025-06-04,https://www.gov.uk/government/publications/appeals/certification-under-section-94b-of-the-nationality-immigration-and-asylum-act-2002-accessible
Settled Status,EU Settlement Scheme: customer granted pre-settled status (accessible),2025-06-02,https://www.gov.uk/government/publications/eu-settlement-scheme-customer-granted-pre-settled-status/eu-settlement-scheme-customer-granted-pre-settled-status-accessible
Rwanda & Policy,Information booklet about your asylum application,2025-06-02,https://www.gov.uk/government/publications/information-leaflet-for-asylum-applications/information-booklet-about-your-asylum-application--2
Visa Issues,Using your UK Visas and Immigration account,2025-06-02,https://www.gov.uk/guidance/using-your-uk-visas-and-immigration-account
Visa Issues,Information booklet about your asylum application,2025-06-02,https://www.gov.uk/government/publications/information-leaflet-for-asylum-applications/information-booklet-about-your-asylum-application--2
BRP & Digital ID,Check your eVisa is correct before you travel,2025-06-02,https://www.gov.uk/guidance/making-sure-your-evisa-is-correct-before-you-travel
Rwanda & Policy,Information booklet for asylum applications,2025-06-02,https://www.gov.uk/government/publications/information-leaflet-for-asylum-applications
